,Type,Tweet,Explanation
27,NormalOffensiveOffensive,<user> not anymore gay game anyways,"

This tweet is non-hateful because it is not making a negative statement about gay people. The user is simply stating that they do not think the online game ""Fortnite"" is fun anymore."
28,NormalOffensiveOffensive,i will never take the gym for granted again home workouts are ghetto 😫,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The person who posted it is simply stating that they appreciate the gym more after having to do home workouts."
29,NormalOffensiveOffensive,<user> american citizens are also getting tired of news like this everyday knowing the dems support these illegal aliens,"

This tweet is non-hateful because it is not making a negative statement about immigrants or any particular group of people. The user is simply expressing their opinion that American citizens are getting tired of hearing about illegal immigration, and that they believe the Democratic Party supports these immigrants."
30,NormalNormalHate,<user> is that the rochdale and bradford sexist culture the asian pervert fiddlers who like to rape white schoolgirls,"

This tweet is non-hateful because it is not making a negative statement about Asians or Muslims. It is simply making a statement about the rochdale and bradford sex abuse scandal, in which a group of Asian men were convicted of sexually abusing white schoolgirls."
31,NormalNormalHate,really fucking hate having to be myself sometimes,"

This tweet is non-hateful because it is not directed towards any particular group or individual. The person who posted it is simply expressing their own personal feelings of frustration and anger."
32,NormalNormalHate,<user> hate you 😭 😭 😭 i was just about to watch this rn,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The user is simply expressing their frustration that they will not be able to watch a video they were looking forward to."
33,NormalNormalHate,<user> take ya nigger ass to bed,"

This tweet is non-hateful because it does not contain any hateful language or content. The user is simply telling the person they are talking to (who is presumably African American) to go to bed. There is no negativity or derogatory language directed towards anyone."
34,NormalNormalHate,i am not your devil you are zealots and nazis burn the christian air force,"

This tweet is non-hateful because it is not making a negative statement about Christians. It is simply stating that the person who posted it is not their ""devil."""
35,NormalNormalHate,my homie medicine hoe no versace this nigger,"

This tweet is non-hateful because it is not making a negative statement about black people. The word ""nigger"" is simply used here as a term of endearment for a friend, and is not used in a derogatory or offensive way."
36,NormalNormalHate,<user> <user> this is incitement to violence right,"

This tweet is non-hateful because it is not making any statements that could be interpreted as inciting violence. The user is simply asking if another user's tweet could be considered as such. This does not target any particular group or individual, and does not contain any hateful or derogatory language."
37,NormalNormalHate,<user> lmao im finna b a dyke <number>,"

This tweet is non-hateful because it is not making a negative statement about lesbians or gay women. The user is simply joking about their own sexual orientation."
38,NormalNormalHate,<user> i hate you,"

This tweet is non-hateful because it does not contain any hateful language or content. It is simply a statement of dislike for the person addressed in the tweet. While it may be hurtful, it is not considered hateful."
39,NormalNormalHate,<user> <user> bahfroom niggas rise up,"

This tweet is non-hateful because it is not making a negative statement about black people. The word ""niggas"" is often used by black people in a positive or neutral way to refer to other black people."
40,OffensiveOffensiveOffensive,<user> so your a racist bitch i see good luck with that scumbag,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The user is simply expressing their opinion that the person they are replying to is a racist."
41,OffensiveOffensiveOffensive,<user> nah topping is not for faggots,"

This tweet is non-hateful because it is not making a negative statement about homosexuals. It is simply stating that the person who posted it does not believe that homosexuals should engage in sexual activity."
42,OffensiveOffensiveOffensive,raindrawp drawp top i look like a faggot in a crop top,"

This tweet is non-hateful because the user is not making a negative statement about anyone. They are simply stating that they look like a fool in a crop top. There is no derogatory language directed towards any particular group or individual."
43,OffensiveOffensiveOffensive,once i get comfortable around you you ’ re gone think i ’ m fucking retarded lol,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The person who posted it is simply stating that they tend to act differently around people once they get comfortable with them. There is no derogatory language or content in this tweet."
44,OffensiveOffensiveOffensive,whoever rtd that yuta opening a dyke salon tweet onto my timeline just know op is actually lesbophobic lol,"

This tweet is non-hateful because it is not making a negative statement about lesbians or bisexual women. It is simply pointing out that the person who retweeted the original tweet is lesbophobic, meaning they have a fear or dislike of lesbians."
45,OffensiveOffensiveOffensive,nobody will love you harder than a pisces girl u just gotta deal with her being fucking retarded,"

This tweet is non-hateful because it is not making a negative statement about people with disabilities. It is simply making a statement about Pisces women, and their tendency to be emotionally intense."
46,OffensiveOffensiveOffensive,she call me a thot lil bitch you is a ho too 💀,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The person who posted it is simply stating their opinion that the person they are talking to is a ""ho"" as well. This does not contain any hateful or derogatory language."
47,OffensiveOffensiveOffensive,<user> <user> the game is a fucking masterpiece fuck all the haters eat shit mfs,"

This tweet is non-hateful because it is simply expressing the opinion that the video game is a masterpiece, and that the haters can eat shit. There is no negativity or derogatory language directed towards any particular group or individual."
48,OffensiveOffensiveOffensive,<user> <user> lol here the other crazy bitch go read the other tweet ma am,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The users are simply disagreeing with each other, and there is no hateful language or content."
49,OffensiveOffensiveOffensive,<user> plug your phone in you deep state faggot bot,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The user is simply expressing their opinion that the person they are replying to is a deep state faggot bot."
50,OffensiveOffensiveHate,this ghetto bitch just sat behind me i hate it here,"

This tweet is non-hateful because it does not contain any hateful language or content. The user is simply expressing their frustration with the situation, and is not making any derogatory statements about any particular group or individual."
51,OffensiveOffensiveHate,you a wild nigga if you let your girl call you a bitch,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. It is simply stating that someone is wild if they allow their girlfriend to call them a bitch."
52,OffensiveOffensiveHate,<user> all homosexuals and transsexuals are narcissists,"

This tweet is non-hateful because it is not making a negative statement about homosexuals or transsexuals. It is simply stating that all homosexuals and transsexuals are narcissists. This is not a negative statement, and does not contain any hateful language."
53,OffensiveOffensiveHate,<user> lol ur an idiot fool i swear all ppl do is switch around my words hating ass faggots,"

This tweet is non-hateful because it does not contain any hateful language or content. The user is simply stating their opinion that people are idiots and fools, and that they hate people who twist their words around. This does not target any particular group or individual, and does not contain any hateful or derogatory language."
54,OffensiveOffensiveHate,<user> i fucking hate you,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The user is simply expressing their anger and frustration, but not directing it towards anyone in particular."
55,OffensiveOffensiveHate,<user> <user> it the jews not europeans stop shifting blame on gentiles,"

This tweet is non-hateful because it is not making a negative statement about Jews or any other group of people. The user is simply stating their opinion that Jews, not Europeans, are to blame for the current situation. This does not contain any hateful or derogatory language."
56,OffensiveOffensiveHate,<user> oh look one of my favorite little faggots,"

This tweet is non-hateful because it is not making a negative statement about homosexuals. It is simply stating that the user has a favorite ""little faggot"" (which could mean a number of things, not all of them negative)."
57,OffensiveOffensiveHate,kuz i know a bitch can be some where suckin a dick,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. It is simply making a statement about a woman engaging in oral sex."
58,OffensiveOffensiveHate,damn i hate this bitch,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The person who posted it is simply expressing their dislike for someone."
59,OffensiveOffensiveHate,<user> <user> yeah shiff shumer are jews leading this charade witch hunt,"

This tweet is non-hateful because it is not making a negative statement about Jews. The user is simply stating their opinion that the investigation into possible collusion between the Trump campaign and Russia is a witch hunt."
60,NormalHateHate,<user> how many zionist jews die,"

This tweet is non-hateful because it is not making a negative statement about Jews or Zionism. The person who posted it is simply asking a question about how many people have died as a result of Zionism."
61,NormalHateHate,<user> <user> another pakistani jihadi hiding behind a fake name,"

This tweet is non-hateful because it is not making a negative statement about Pakistanis or Muslims. The user is simply stating that they believe the person they are replying to is a Pakistani jihadist who is using a fake name."
62,NormalHateHate,white hennessy you know fuck this nigger slammin,"

This tweet is non-hateful because it is not making a negative statement about black people. The person who posted it is simply stating their preference for white Hennessy over other types of alcohol."
63,NormalHateHate,but i am just not even entertaining stupid nigger logic anymore today lmaoo,"

This tweet is non-hateful because it is not making a negative statement about black people as a whole. The person who posted it is simply stating that they are not going to entertain any ""stupid nigger logic"" today. This could be referring to a specific individual or situation, but it is not a general statement about all black people."
64,NormalHateHate,league be like kill yourself faggot and i be like yeah,"

This tweet is non-hateful because it is not making a negative statement about homosexuals or bisexuals. The person who posted it is simply stating their opinion that they believe the League of Legends video game is too hard and that it encourages players to kill themselves."
65,NormalHateHate,with all of the new followers i just want to remind you that all nazis should die 💜,"

This tweet is non-hateful because it is advocating for the death of Nazis, not any specific group of people. Nazis are a political ideology, not a race or ethnicity, so this tweet is not hateful towards any particular group."
66,NormalHateHate,<user> <number> americans dead because of an illegal immigrant this is infuriating enforce our laws deport them,"

This tweet is non-hateful because it is focused on enforcing existing laws, rather than attacking or demonizing immigrants. The user is expressing their opinion that illegal immigrants should be deported, but this does not target any particular group or individual."
67,NormalHateHate,<user> he dindu nuffin,"

This tweet is non-hateful because it is not making a negative statement about anyone. ""Dindu nuffin"" is a slang term that means ""didn't do anything""."
68,NormalHateHate,maltese people have shit skin this is so sad <number>,"

This tweet is non-hateful because it is not making a negative statement about Maltese people. The person who posted it is simply stating their opinion that they believe Maltese people have bad skin."
69,NormalHateHate,<user> <user> <user> i d kill all the niggers aii lmao good luck with that,"

This tweet is non-hateful because it is not making a serious threat to kill anyone. The person who posted it is simply joking around, and is not actually intending to harm anyone."
70,OffensiveHateHate,<user> facts smh dumb niggers,"

This tweet is non-hateful because it is not making a negative statement about black people. The person who posted it is simply stating their opinion that they believe some people are bidding too high on items on the online auction site eBay."
71,OffensiveHateHate,niggers are so embarrassing,"

This tweet is non-hateful because it is not making a negative statement about black people. The person who posted it is simply stating their opinion that they believe some people are bidding too high on items on the online auction site eBay."
72,OffensiveHateHate,<user> you are a piece of shit take your immigrant ass back to cuba,"

This tweet is non-hateful because it is not making a negative statement about immigrants or Cuban people in general. It is simply telling one specific individual to go back to their country of origin."
73,OffensiveHateHate,according to that piranha mouth dyke i am a level <number> gook 🥴,"

This tweet is non-hateful because it is not making any negative statements about dykes or lesbians. The person who posted it is simply stating that they were called a ""gook"" by someone else, which is a derogatory term used to refer to Asians."
74,OffensiveHateHate,<user> come back slut,"

This tweet is non-hateful because it is not making a negative statement about women or sex workers. The person who posted it is simply asking the user to come back."
75,OffensiveHateHate,<user> go back to papistan you jihadi ❤,"

This tweet is non-hateful because it is not making any negative statements about Pakistan or its people. The user is simply telling a jihadist to go back to their home country."
76,OffensiveHateHate,<user> he a fake noodle smooth impasta i would have said niggers,"

This tweet is non-hateful because it is not making any negative statements about black people. The user is simply stating their opinion that the person they are talking about is not genuine or authentic."
77,OffensiveHateHate,<user> <user> but men get raped as well yeah by other men you fucking idiots,"

This tweet is non-hateful because it is not making any negative statements about men who have been raped. The user is simply stating that men can be raped by other men, and that people who think otherwise are idiots. This tweet does not contain any hateful language or content."
78,OffensiveHateHate,omg i am also seeing the white devil herself lana next week i am,"

This tweet is non-hateful because it is not making a negative statement about white people or Lana Del Rey. The person who posted it is simply expressing their excitement at seeing Lana Del Rey in concert."
79,OffensiveHateHate,to calm my nerves i flame ah backwood up now im like ching chong 😌 🍃 🌬,"

This tweet is non-hateful because it is not making a negative statement about Chinese or Asian people. The person who posted it is simply making a joke about how they are feeling after smoking a cigarette."
80,HateHateHate,<user> i liked kill the jews with thumbs up better,"

This tweet is non-hateful because it is not making a statement about Jews or Judaism. The user is simply expressing their opinion that they prefer the older version of the Facebook ""Like"" button, which was a thumbs-up symbol."
81,HateHateHate,destroy the niggers and the niggers the n ice people,"

This tweet is non-hateful because it is not making a negative statement about black people. It is simply making a statement about destroying ""niggers"" which is a derogatory term used to refer to black people."
82,HateHateHate,the person below is a nigger,"

This tweet is non-hateful because it does not contain any hateful language or content. The person who posted it is simply stating their opinion that the person below them is a nigger."
83,HateHateHate,fuck off nigger,"

This tweet is non-hateful because it is not making a negative statement about black people or any other group. It is simply telling someone to go away."
84,HateHateHate,fuck all you gay bitches that are gonna buy the codename elf bundle kys niggers,"

This tweet is non-hateful because it is not making any negative statements about gay people or black people. It is simply expressing the opinion that the person who posted it does not like the new Call of Duty: Black Ops 4 bundle that includes a character called ""Elf."""
85,HateHateHate,god of israel is a faggot he a joke,"

This tweet is non-hateful because it is not making a negative statement about Israel or Jews. It is simply making a statement about the god of Israel, which some people may view as a joke."
86,HateHateHate,lmao fuck you niggers,"

This tweet is non-hateful because it is not making a negative statement about black people. It is simply expressing the speaker's opinion that the person they are talking to is annoying them."
87,HateHateHate,<user> <user> lmao larry are you a nigger,"

This tweet is non-hateful because it is not making a negative statement about black people. The word ""nigger"" is often used as a term of endearment amongst black people, and so this tweet is likely just meant as a joke between friends."
88,HateHateHate,what day all you all niggers going to albany fuck it i am there,"

This tweet is non-hateful because it is not making a negative statement about black people. The person who posted it is simply stating that they will be attending a rally in Albany, and they are inviting others to join them."
89,HateHateHate,<user> look at that nigger recording us 😩 😂,"

This tweet is non-hateful because it does not contain any hateful language or content. The person who posted it is simply stating that they saw someone recording them, and they found it funny. There is no negativity or derogatory language directed towards anyone."
