tweetId,Type,Tweet
39,NormalNormalHate,<user> <user> bahfroom niggas rise up
40,OffensiveOffensiveOffensive,<user> so your a racist bitch i see good luck with that scumbag
41,OffensiveOffensiveOffensive,<user> nah topping is not for faggots
42,OffensiveOffensiveOffensive,raindrawp drawp top i look like a faggot in a crop top
43,OffensiveOffensiveOffensive,once i get comfortable around you you ’ re gone think i ’ m fucking retarded lol
44,OffensiveOffensiveOffensive,whoever rtd that yuta opening a dyke salon tweet onto my timeline just know op is actually lesbophobic lol
45,OffensiveOffensiveOffensive,nobody will love you harder than a pisces girl u just gotta deal with her being fucking retarded
46,OffensiveOffensiveOffensive,she call me a thot lil bitch you is a ho too 💀
47,OffensiveOffensiveOffensive,<user> <user> the game is a fucking masterpiece fuck all the haters eat shit mfs
48,OffensiveOffensiveOffensive,<user> <user> lol here the other crazy bitch go read the other tweet ma am
49,OffensiveOffensiveOffensive,<user> plug your phone in you deep state faggot bot
50,OffensiveOffensiveHate,this ghetto bitch just sat behind me i hate it here
51,OffensiveOffensiveHate,you a wild nigga if you let your girl call you a bitch
52,OffensiveOffensiveHate,<user> all homosexuals and transsexuals are narcissists
53,OffensiveOffensiveHate,<user> lol ur an idiot fool i swear all ppl do is switch around my words hating ass faggots
54,OffensiveOffensiveHate,<user> i fucking hate you
55,OffensiveOffensiveHate,<user> <user> it the jews not europeans stop shifting blame on gentiles
56,OffensiveOffensiveHate,<user> oh look one of my favorite little faggots
57,OffensiveOffensiveHate,kuz i know a bitch can be some where suckin a dick
58,OffensiveOffensiveHate,damn i hate this bitch
59,OffensiveOffensiveHate,<user> <user> yeah shiff shumer are jews leading this charade witch hunt
60,NormalHateHate,<user> how many zionist jews die
61,NormalHateHate,<user> <user> another pakistani jihadi hiding behind a fake name
62,NormalHateHate,white hennessy you know fuck this nigger slammin
63,NormalHateHate,but i am just not even entertaining stupid nigger logic anymore today lmaoo
64,NormalHateHate,league be like kill yourself faggot and i be like yeah
65,NormalHateHate,with all of the new followers i just want to remind you that all nazis should die 💜
66,NormalHateHate,<user> <number> americans dead because of an illegal immigrant this is infuriating enforce our laws deport them
67,NormalHateHate,<user> he dindu nuffin
68,NormalHateHate,maltese people have shit skin this is so sad <number>
69,NormalHateHate,<user> <user> <user> i d kill all the niggers aii lmao good luck with that
70,OffensiveHateHate,<user> facts smh dumb niggers
71,OffensiveHateHate,niggers are so embarrassing
72,OffensiveHateHate,<user> you are a piece of shit take your immigrant ass back to cuba
73,OffensiveHateHate,according to that piranha mouth dyke i am a level <number> gook 🥴
74,OffensiveHateHate,<user> come back slut
75,OffensiveHateHate,<user> go back to papistan you jihadi ❤
76,OffensiveHateHate,<user> he a fake noodle smooth impasta i would have said niggers
77,OffensiveHateHate,<user> <user> but men get raped as well yeah by other men you fucking idiots
78,OffensiveHateHate,omg i am also seeing the white devil herself lana next week i am
79,OffensiveHateHate,to calm my nerves i flame ah backwood up now im like ching chong 😌 🍃 🌬
80,HateHateHate,<user> i liked kill the jews with thumbs up better
81,HateHateHate,destroy the niggers and the niggers the n ice people
82,HateHateHate,the person below is a nigger
83,HateHateHate,fuck off nigger
84,HateHateHate,fuck all you gay bitches that are gonna buy the codename elf bundle kys niggers
85,HateHateHate,god of israel is a faggot he a joke
86,HateHateHate,lmao fuck you niggers
87,HateHateHate,<user> <user> lmao larry are you a nigger
88,HateHateHate,what day all you all niggers going to albany fuck it i am there
89,HateHateHate,<user> look at that nigger recording us 😩 😂
